title,body,labels,assignees,milestone,project_status,priority,workstream,,,,,,,,
[W2][P0][#4] Feature engineering: shipping and product variables,"## Objective
Complete **Feature engineering: shipping and product variables** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W2-DataEngineering
- Workstream: Engineering
- Priority: High
- Owner: Luciana

## Tasks
- [ ] Implement the required data pipeline or transformation.
- [ ] Validate schema, row counts, and leakage-safe outputs.
- [ ] Commit notebook/script and document execution order.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W2-DataEngineering,Engineering,P0-Critical",,W2 - Data Engineering,Backlog,P0 - Critical,Engineering,4,,,,,,,
[W2][P0][#5] Feature engineering: customer and regional variables,"## Objective
Complete **Feature engineering: customer and regional variables** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W2-DataEngineering
- Workstream: Engineering
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Implement the required data pipeline or transformation.
- [ ] Validate schema, row counts, and leakage-safe outputs.
- [ ] Commit notebook/script and document execution order.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W2-DataEngineering,Engineering,P0-Critical",,W2 - Data Engineering,Backlog,P0 - Critical,Engineering,5,,,,,,,
[W2][P0][#6] Leakage audit: conceptual screening of all variables,"## Objective
Complete **Leakage audit: conceptual screening of all variables** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W2-DataEngineering
- Workstream: Quality
- Priority: High
- Owner: Andre

## Tasks
- [ ] Run the required validation or audit.
- [ ] Document findings and any corrective actions.
- [ ] Confirm that outputs meet acceptance criteria.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W2-DataEngineering,Quality,P0-Critical",,W2 - Data Engineering,Backlog,P0 - Critical,Quality,6,,,,,,,
[W2][P1][#7] Document the Silver schema with a data dictionary,"## Objective
Complete **Document the Silver schema with a data dictionary** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W2-DataEngineering
- Workstream: Documentation
- Priority: Medium
- Owner: Luciana

## Tasks
- [ ] Create or update the required documentation artifact.
- [ ] Ensure terminology, formulas, and assumptions are clear.
- [ ] Commit the document and link it to relevant issues.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W2-DataEngineering,Documentation,P1-High",,W2 - Data Engineering,Backlog,P1 - High,Documentation,7,,,,,,,
[W2][P2][#8] External geographic file for dashboard only,"## Objective
Complete **External geographic file for dashboard only** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W2-DataEngineering
- Workstream: Data
- Priority: Low
- Owner: Bruno

## Tasks
- [ ] Acquire or validate the required dataset or supporting data file.
- [ ] Check structure, row counts, file version, and completeness.
- [ ] Document source, version, and storage location.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W2-DataEngineering,Data,P2-Medium",,W2 - Data Engineering,Backlog,P2 - Medium,Data,8,,,,,,,
[W3][P1][#1] Univariate EDA: distributions and outliers,"## Objective
Complete **Univariate EDA: distributions and outliers** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W3-EDA-Gold
- Workstream: EDA
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Generate the required exploratory analysis.
- [ ] Save key visuals and summarize findings.
- [ ] Connect findings to hypotheses and modeling choices.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W3-EDA-GoldLayer,EDA,P1-High",,W3 - EDA & Gold Layer,Backlog,P1 - High,EDA,1,,,,,,,
[W3][P1][#2] Bivariate EDA: correlates of late delivery,"## Objective
Complete **Bivariate EDA: correlates of late delivery** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W3-EDA-Gold
- Workstream: EDA
- Priority: High
- Owner: Andre

## Tasks
- [ ] Generate the required exploratory analysis.
- [ ] Save key visuals and summarize findings.
- [ ] Connect findings to hypotheses and modeling choices.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W3-EDA-GoldLayer,EDA,P1-High",,W3 - EDA & Gold Layer,Backlog,P1 - High,EDA,2,,,,,,,
[W3][P1][#3] Bivariate EDA: profitability drivers,"## Objective
Complete **Bivariate EDA: profitability drivers** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W3-EDA-Gold
- Workstream: EDA
- Priority: High
- Owner: Luciana

## Tasks
- [ ] Generate the required exploratory analysis.
- [ ] Save key visuals and summarize findings.
- [ ] Connect findings to hypotheses and modeling choices.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W3-EDA-GoldLayer,EDA,P1-High",,W3 - EDA & Gold Layer,Backlog,P1 - High,EDA,3,,,,,,,
[W3][P1][#4] Class imbalance analysis for AO1,"## Objective
Complete **Class imbalance analysis for AO1** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W3-EDA-Gold
- Workstream: EDA
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Generate the required exploratory analysis.
- [ ] Save key visuals and summarize findings.
- [ ] Connect findings to hypotheses and modeling choices.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W3-EDA-GoldLayer,EDA,P1-High",,W3 - EDA & Gold Layer,Backlog,P1 - High,EDA,4,,,,,,,
[W3][P0][#5] Gold: create leakage-safe AO1 analytical table,"## Objective
Complete **Gold: create leakage-safe AO1 analytical table** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W3-EDA-Gold
- Workstream: Engineering
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Implement the required data pipeline or transformation.
- [ ] Validate schema, row counts, and leakage-safe outputs.
- [ ] Commit notebook/script and document execution order.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W3-EDA-GoldLayer,Engineering,P0-Critical",,W3 - EDA & Gold Layer,Backlog,P0 - Critical,Engineering,5,,,,,,,
[W3][P0][#6] Gold: create leakage-safe AO2 analytical table,"## Objective
Complete **Gold: create leakage-safe AO2 analytical table** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W3-EDA-Gold
- Workstream: Engineering
- Priority: High
- Owner: Andre

## Tasks
- [ ] Implement the required data pipeline or transformation.
- [ ] Validate schema, row counts, and leakage-safe outputs.
- [ ] Commit notebook/script and document execution order.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W3-EDA-GoldLayer,Engineering,P0-Critical",,W3 - EDA & Gold Layer,Backlog,P0 - Critical,Engineering,6,,,,,,,
[W3][P1][#7] Document EDA findings and validate with the group,"## Objective
Complete **Document EDA findings and validate with the group** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W3-EDA-Gold
- Workstream: Documentation
- Priority: Medium
- Owner: Luciana

## Tasks
- [ ] Create or update the required documentation artifact.
- [ ] Ensure terminology, formulas, and assumptions are clear.
- [ ] Commit the document and link it to relevant issues.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W3-EDA-GoldLayer,Documentation,P1-High",,W3 - EDA & Gold Layer,Backlog,P1 - High,Documentation,7,,,,,,,
[W4][P0][#1] Create chronological train-test split for AO1 (80/20),"## Objective
Complete **Create chronological train-test split for AO1 (80/20)** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W4-AO1-Model
- Workstream: Modeling
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Build and run the model or modeling component.
- [ ] Record metrics, settings, and output artifacts.
- [ ] Save the model/output for downstream use.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W4-AO1Model,Modeling,P0-Critical",,W4 - AO1 Model,Backlog,P0 - Critical,Modeling,1,,,,,,,
"[W4][P0][#2] Build AO1 preprocessing pipeline (encoding, scaling, SMOTE)","## Objective
Complete **Build AO1 preprocessing pipeline (encoding, scaling, SMOTE)** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W4-AO1-Model
- Workstream: Modeling
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Build and run the model or modeling component.
- [ ] Record metrics, settings, and output artifacts.
- [ ] Save the model/output for downstream use.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W4-AO1Model,Modeling,P0-Critical",,W4 - AO1 Model,Backlog,P0 - Critical,Modeling,2,,,,,,,
[W4][P0][#3] AO1 baseline: Logistic Regression,"## Objective
Complete **AO1 baseline: Logistic Regression** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W4-AO1-Model
- Workstream: Modeling
- Priority: High
- Owner: Andre

## Tasks
- [ ] Build and run the model or modeling component.
- [ ] Record metrics, settings, and output artifacts.
- [ ] Save the model/output for downstream use.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W4-AO1Model,Modeling,P0-Critical",,W4 - AO1 Model,Backlog,P0 - Critical,Modeling,3,,,,,,,
[W4][P0][#4] AO1 primary model: XGBoost Classifier,"## Objective
Complete **AO1 primary model: XGBoost Classifier** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W4-AO1-Model
- Workstream: Modeling
- Priority: High
- Owner: Luciana

## Tasks
- [ ] Build and run the model or modeling component.
- [ ] Record metrics, settings, and output artifacts.
- [ ] Save the model/output for downstream use.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W4-AO1Model,Modeling,P0-Critical",,W4 - AO1 Model,Backlog,P0 - Critical,Modeling,4,,,,,,,
"[W4][P1][#5] AO1 evaluation: metrics, curves, and confusion matrix","## Objective
Complete **AO1 evaluation: metrics, curves, and confusion matrix** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W4-AO1-Model
- Workstream: Quality
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Run the required validation or audit.
- [ ] Document findings and any corrective actions.
- [ ] Confirm that outputs meet acceptance criteria.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W4-AO1Model,Quality,P1-High",,W4 - AO1 Model,Backlog,P1 - High,Quality,5,,,,,,,
[W4][P1][#6] AO1 explainability: SHAP values,"## Objective
Complete **AO1 explainability: SHAP values** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W4-AO1-Model
- Workstream: Modeling
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Build and run the model or modeling component.
- [ ] Record metrics, settings, and output artifacts.
- [ ] Save the model/output for downstream use.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W4-AO1Model,Modeling,P1-High",,W4 - AO1 Model,Backlog,P1 - High,Modeling,6,,,,,,,
[W4][P1][#7] Post-model leakage audit for AO1,"## Objective
Complete **Post-model leakage audit for AO1** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W4-AO1-Model
- Workstream: Quality
- Priority: High
- Owner: Andre

## Tasks
- [ ] Run the required validation or audit.
- [ ] Document findings and any corrective actions.
- [ ] Confirm that outputs meet acceptance criteria.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W4-AO1Model,Quality,P1-High",,W4 - AO1 Model,Backlog,P1 - High,Quality,7,,,,,,,
[W4][P1][#8] Document AO1 results and validate H1,"## Objective
Complete **Document AO1 results and validate H1** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W4-AO1-Model
- Workstream: Documentation
- Priority: Medium
- Owner: Luciana

## Tasks
- [ ] Create or update the required documentation artifact.
- [ ] Ensure terminology, formulas, and assumptions are clear.
- [ ] Commit the document and link it to relevant issues.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W4-AO1Model,Documentation,P1-High",,W4 - AO1 Model,Backlog,P1 - High,Documentation,8,,,,,,,
[W5][P0][#1] Create chronological train-test split for AO2 (80/20),"## Objective
Complete **Create chronological train-test split for AO2 (80/20)** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W5-AO2-Model
- Workstream: Modeling
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Build and run the model or modeling component.
- [ ] Record metrics, settings, and output artifacts.
- [ ] Save the model/output for downstream use.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W5-AO2Model,Modeling,P0-Critical",,W5 - AO2 Model,Backlog,P0 - Critical,Modeling,1,,,,,,,
"[W5][P0][#2] Build AO2 preprocessing pipeline (encoding, scaling)","## Objective
Complete **Build AO2 preprocessing pipeline (encoding, scaling)** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W5-AO2-Model
- Workstream: Modeling
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Build and run the model or modeling component.
- [ ] Record metrics, settings, and output artifacts.
- [ ] Save the model/output for downstream use.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W5-AO2Model,Modeling,P0-Critical",,W5 - AO2 Model,Backlog,P0 - Critical,Modeling,2,,,,,,,
[W5][P0][#3] AO2 baseline: Linear Regression or Ridge,"## Objective
Complete **AO2 baseline: Linear Regression or Ridge** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W5-AO2-Model
- Workstream: Modeling
- Priority: High
- Owner: Andre

## Tasks
- [ ] Build and run the model or modeling component.
- [ ] Record metrics, settings, and output artifacts.
- [ ] Save the model/output for downstream use.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W5-AO2Model,Modeling,P0-Critical",,W5 - AO2 Model,Backlog,P0 - Critical,Modeling,3,,,,,,,
[W5][P0][#4] AO2 primary model: Gradient Boosting Regressor,"## Objective
Complete **AO2 primary model: Gradient Boosting Regressor** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W5-AO2-Model
- Workstream: Modeling
- Priority: High
- Owner: Luciana

## Tasks
- [ ] Build and run the model or modeling component.
- [ ] Record metrics, settings, and output artifacts.
- [ ] Save the model/output for downstream use.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W5-AO2Model,Modeling,P0-Critical",,W5 - AO2 Model,Backlog,P0 - Critical,Modeling,4,,,,,,,
"[W5][P1][#5] AO2 evaluation: RMSE, MAE, R-squared, and residual review","## Objective
Complete **AO2 evaluation: RMSE, MAE, R-squared, and residual review** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W5-AO2-Model
- Workstream: Quality
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Run the required validation or audit.
- [ ] Document findings and any corrective actions.
- [ ] Confirm that outputs meet acceptance criteria.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W5-AO2Model,Quality,P1-High",,W5 - AO2 Model,Backlog,P1 - High,Quality,5,,,,,,,
[W5][P1][#6] AO2 explainability: SHAP values,"## Objective
Complete **AO2 explainability: SHAP values** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W5-AO2-Model
- Workstream: Modeling
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Build and run the model or modeling component.
- [ ] Record metrics, settings, and output artifacts.
- [ ] Save the model/output for downstream use.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W5-AO2Model,Modeling,P1-High",,W5 - AO2 Model,Backlog,P1 - High,Modeling,6,,,,,,,
[W5][P1][#7] Document AO2 results and validate H2,"## Objective
Complete **Document AO2 results and validate H2** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W5-AO2-Model
- Workstream: Documentation
- Priority: Medium
- Owner: Andre

## Tasks
- [ ] Create or update the required documentation artifact.
- [ ] Ensure terminology, formulas, and assumptions are clear.
- [ ] Commit the document and link it to relevant issues.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W5-AO2Model,Documentation,P1-High",,W5 - AO2 Model,Backlog,P1 - High,Documentation,7,,,,,,,
[W6][P0][#1] Define the 2x2 risk-margin matrix logic,"## Objective
Complete **Define the 2x2 risk-margin matrix logic** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W6-AO3-Integration
- Workstream: Integration
- Priority: High
- Owner: Luciana

## Tasks
- [ ] Combine outputs from prior tasks into the integrated AO3 workflow.
- [ ] Validate joins, scores, thresholds, or segment assignments.
- [ ] Save integrated tables and document logic.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W6-AO3Integration,Integration,P0-Critical",,W6 - AO3 Integration,Backlog,P0 - Critical,Integration,1,,,,,,,
[W6][P0][#2] Score the test set with AO1 and AO2 outputs,"## Objective
Complete **Score the test set with AO1 and AO2 outputs** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W6-AO3-Integration
- Workstream: Integration
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Combine outputs from prior tasks into the integrated AO3 workflow.
- [ ] Validate joins, scores, thresholds, or segment assignments.
- [ ] Save integrated tables and document logic.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W6-AO3Integration,Integration,P0-Critical",,W6 - AO3 Integration,Backlog,P0 - Critical,Integration,2,,,,,,,
[W6][P0][#3] Segment orders into the four operational quadrants,"## Objective
Complete **Segment orders into the four operational quadrants** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W6-AO3-Integration
- Workstream: Integration
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Combine outputs from prior tasks into the integrated AO3 workflow.
- [ ] Validate joins, scores, thresholds, or segment assignments.
- [ ] Save integrated tables and document logic.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W6-AO3Integration,Integration,P0-Critical",,W6 - AO3 Integration,Backlog,P0 - Critical,Integration,3,,,,,,,
