"citation_key","source_category","slot_type","concept_supported","final_report_section","metadata_status","missing_fields","appear_in_final_references","source_file_found","marker_supported","marker_action","notes"
"liang_2025_supply_chain_risk_decision_trees","Optional literature","fixed_source","DataCo decision-tree risk prediction and interpretability","AO1 literature context","partial_needs_metadata","Full publication metadata; DOI or URL","conditional_if_decision_tree_dataco_precedent_is_discussed","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md; Bibliographic References and Strategic Application.docx","machine learning for delivery risk and logistics prediction","replace after metadata verification if used","Use if final report discusses interpretable decision-tree DataCo precedent."
"ashraf_2025_customer_segmentation","Optional literature","optional_remove_if_not_used","Segmentation/clustering context","AO3 segmentation caveat or K-means extension","partial_needs_metadata","Full publication metadata; DOI or URL","no_unless_segmentation_literature_is_directly_needed","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","segmentation and decision-support frameworks","remove marker or keep pending if used","Marketing-oriented; not central to risk-margin framework."
"ivanov_2021_digital_supply_chain_twins","Optional literature","optional_remove_if_not_used","Digital twins, disruption visibility, resilience","Limitations or decision-support context","partial_needs_metadata","Correct year; full title; venue; DOI or URL","no_unless_digital_twin_or_resilience_framing_remains","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","predictive analytics and decision-support literature","remove marker or keep pending if used","Resolve 2019/2021 year ambiguity before use."
"chatrath_2026_ai_supply_chain_logistics","Optional literature","optional_remove_if_not_used","Broad AI in supply chain and logistics","Background only","partial_needs_metadata","Full publication metadata; DOI or URL","no_unless_broad_background_needs_one_more_source","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md; Bibliographic References and Strategic Application.docx","predictive analytics in supply chain management","avoid unless metadata/source quality are verified","Tracker marks it as broad background; do not use as main methods evidence."
"chawla_2002_smote","Methodology literature","optional_remove_if_not_used","SMOTE and class imbalance","AO1 class imbalance only if discussed","not_needed_remove_marker","Full metadata only needed if SMOTE is discussed","no","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md; docs/ao1_xgboost_classifier.md; docs/ao1_post_model_leakage_audit.md","none unless SMOTE or class imbalance handling is discussed","remove marker or avoid citation","Current AO1 documentation says SMOTE is not used."
"python_pandas_numpy_matplotlib_reference","Tool/package slot","optional_remove_if_not_used","Python and common data-analysis packages","AI/tooling note only if substantively discussed","not_needed_remove_marker","Official docs or package citations only if final text requires them","no","requirements.txt; report/final_apa_reference_inventory.csv","none","remove marker or avoid citation","Do not cite routine package use unless final report makes package-specific claims."
"xgboost_documentation_3_2_0","Tool documentation","official_documentation_slot","XGBoost documentation release 3.2.0 / current docs page for implementation/package support","AO1/AO2 modeling methods","reference_needed","Documentation page title; organization; URL; retrieval date if needed","yes_if_xgboost_implementation_is_named","requirements.txt; docs/databricks_setup.md; report/final_apa_reference_inventory.csv","XGBoost original paper or official documentation","replace after metadata verification","Current repo runtime records xgboost==2.0.3; selected citation source is XGBoost documentation release 3.2.0 / current docs page."
"chen_guestrin_2016_xgboost_method","Academic method slot","replaceable_topic_slot","Canonical XGBoost academic method reference if broad methodology is discussed","AO1/AO2 modeling methods","reference_needed","Full paper title; venue; publisher/proceedings; DOI or URL","conditional_if_broad_xgboost_methodology_is_discussed","user-provided source decision; no repository metadata found","XGBoost original paper or official documentation","keep pending until verified metadata is added","Do not invent Chen and Guestrin (2016) metadata."
"scikit_learn_ridge_documentation","Tool documentation","official_documentation_slot","scikit-learn Ridge documentation for Ridge baseline implementation","AO2 baseline implementation","reference_needed","Ridge documentation page title; URL; retrieval date if needed","conditional_if_ridge_baseline_implementation_is_discussed","requirements.txt; report/final_apa_reference_inventory.csv","scikit-learn documentation for Logistic Regression, Ridge Regression, metrics, and K-means","replace after metadata verification if Ridge implementation remains","Use Ridge docs only for Ridge implementation support."
"scikit_learn_broad_citation_needed","Academic/tool slot","replaceable_topic_slot","scikit-learn broad implementation library citation","AO1/AO2/AO3 methods","reference_needed","scikit-learn paper or canonical citation metadata; DOI or URL","conditional_if_scikit_learn_is_cited_broadly","requirements.txt; docs/ao3_kmeans_extension.md; report/final_apa_reference_inventory.csv","scikit-learn documentation for Logistic Regression, Ridge Regression, metrics, and K-means","keep pending or remove marker","Use only if final text cites scikit-learn broadly as the implementation library."
"databricks_official_reference","Platform documentation","official_documentation_slot","Databricks platform and serving-layer context","Reproducibility and dashboard architecture","reference_needed","Organization; page title; year/date; URL; retrieval date if needed","yes_if_databricks_platform_behavior_is_cited","docs/databricks_setup.md; report/final_apa_reference_inventory.csv","Databricks documentation if cited","keep pending until official metadata is verified","Databricks native dashboards / AI/BI dashboards are not the planned final dashboard deliverable."
"microsoft_powerbi_official_reference","Tool documentation","official_documentation_slot","Selected Power BI dashboard direction and Power BI tooling","Dashboard status and tooling","reference_needed","Microsoft page title; date; URL; retrieval date if needed","yes_if_powerbi_mechanics_are_cited","report/final_apa_reference_inventory.csv; dashboard/README.md; dashboard/powerbi_semantic_model.md","business intelligence dashboards and analytics communication; Microsoft Power BI Azure Databricks connector documentation if cited","keep pending until official metadata is verified","Power BI is the official/selected dashboard direction; PR #141 contains the first dashboard page."
"microsoft_learn_powerbi_azure_databricks","Connector documentation","official_documentation_slot","Microsoft Learn Power BI with Azure Databricks for Power BI Desktop connecting to Azure Databricks clusters and SQL warehouses","Dashboard architecture","reference_needed","Microsoft Learn page date; URL; retrieval date if needed","yes_if_connector_architecture_is_cited","docs/powerbi_databricks_serving_layer.md; dashboard/powerbi_semantic_model.md; report/final_apa_reference_inventory.csv","Microsoft Power BI Azure Databricks connector documentation if cited","replace after official metadata is verified","Primary official source for selected direct Power BI connection to Azure Databricks serving-layer tables."
"databricks_power_platform_blog_optional","Optional tool source","optional_remove_if_not_used","Databricks Power Platform connector blog","Dashboard or Power Platform context only if discussed","not_needed_remove_marker","Blog title; date; URL only if used","no_unless_power_platform_integration_is_discussed","user-provided source decision; no repository source file found","none","avoid citation","Do not use as primary Power BI dashboard source; it concerns Power Apps, Power Automate, and Copilot Studio."
"liu_chen_zheng_feng_2022_leakage_suppression","Methodology literature","fixed_source","Leakage suppression and falsely high evaluation risk from future/test information","Leakage-control and chronological split policy","partial_needs_metadata","Venue or publisher; volume/issue/pages if applicable; DOI or URL","yes_after_metadata_verification","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/prediction method with data leakage suppression for time series - liu, chen. zheng, feng.pdf; report/final_apa_reference_inventory.csv","data leakage in predictive modeling","replace after metadata verification","Replacement for generic leakage slot; limitation: time-series leakage source, not supply-chain-specific."
"responsible_ai_governance_reference_needed","Governance topic slot","replaceable_topic_slot","Responsible AI, model governance, limitations, or explainability governance","Ethical/responsible-use considerations","reference_needed","Author(s); year; title; venue/page; DOI or URL","conditional_if_broad_governance_claims_remain","report/final_apa_reference_inventory.csv; report/final_apa_reference_map.md","responsible AI, model governance, or explainability literature","keep pending until verified source is added or rewrite sentence","Lundberg and Lee can support SHAP only, not broad governance."
