variable_name,analysis_column,variable_origin,variable_type,ao1_policy,screening_status,decision_time_valid,eda_summary,notable_pattern,late_delivery_rate_difference,sample_size_caveat,leakage_review_result,modeling_recommendation,requires_group_validation,recommended_action,source_rationale,required_action_from_screening
Customer Country,Customer_Country,raw_dataco,categorical,allowed,deferred_to_gold,yes,Categorical: 2 groups; 2 met support. Strongest supported group 'Puerto Rico' had late rate 54.76% (-0.07 pp vs overall).,Highest supported rate: 'EE. UU.' 54.87%; lowest: 'Puerto Rico' 54.76%.,-0.0007,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Customer country is a stable geographic field expected to be known at order creation.,Can be used as a regional categorical feature after train-only encoding.
Customer Email,Customer_Email,raw_dataco,categorical,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO1 modeling by leakage screening.,exclude_from_ao1_modeling,False,Exclude from AO1 predictor lists.,Masked or direct customer contact information is an identifier and not operationally useful for modeling.,Exclude from modeling and dashboard outputs unless explicitly needed for data-quality audit.
Customer Fname,Customer_Fname,raw_dataco,categorical,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO1 modeling by leakage screening.,exclude_from_ao1_modeling,False,Exclude from AO1 predictor lists.,Customer first name is a personal identifier.,Exclude from modeling and reporting artifacts.
Customer Id,Customer_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Direct bivariate ranking skipped for this review-sensitive field.,Identifier/key field; do not interpret direct category or numeric bins as AO1 signal.,,Requires approved grouping or train-only aggregate design before modeling.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Customer ID may be known at order creation but should not be used directly as a high-cardinality identifier.,May support historical aggregates only if computed with time-aware train-only logic.
Customer Lname,Customer_Lname,raw_dataco,categorical,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO1 modeling by leakage screening.,exclude_from_ao1_modeling,False,Exclude from AO1 predictor lists.,Customer last name is a personal identifier and has limited modeling value.,Exclude from modeling and reporting artifacts.
Customer Password,Customer_Password,raw_dataco,categorical,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO1 modeling by leakage screening.,exclude_from_ao1_modeling,False,Exclude from AO1 predictor lists.,Masked customer password/key is sensitive and non-operational for modeling.,Exclude from all modeling and dashboard artifacts.
Customer Segment,Customer_Segment,raw_dataco,categorical,allowed,deferred_to_gold,yes,Categorical: 3 groups; 3 met support. Strongest supported group 'Home Office' had late rate 55.07% (+0.24 pp vs overall).,Highest supported rate: 'Home Office' 55.07%; lowest: 'Corporate' 54.72%.,0.0024,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Customer segment is expected to be known at order creation and has clear business meaning.,Can be normalized and encoded inside train-only preprocessing.
Customer State,Customer_State,raw_dataco,categorical,allowed,deferred_to_gold,yes,Categorical: 46 groups; 27 met support. Strongest supported group 'NM' had late rate 60.27% (+5.44 pp vs overall).,Highest supported rate: 'NM' 60.27%; lowest: 'CO' 50.68%.,0.0544,Minimum support 903; 19 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Customer state is expected to be known at order creation and supports regional analysis.,Can be normalized or grouped before train-only encoding.
Customer Street,Customer_Street,raw_dataco,categorical,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO1 modeling by leakage screening.,exclude_from_ao1_modeling,False,Exclude from AO1 predictor lists.,Street-level address detail is high-cardinality and sensitive.,Exclude; use coarser regional fields instead.
Customer Zipcode,Customer_Zipcode,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Direct bivariate ranking skipped for this review-sensitive field.,Raw postal code is granular geography; use availability flags or approved coarse grouping instead.,,Requires approved grouping or train-only aggregate design before modeling.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Customer postal code may be known at order creation but is granular and partially missing.,Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.
Department Id,Department_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 5.000; on-time class median 5.000; missing rate 0.00%.,"Highest supported bin (5.0, 6.0] had late rate 55.49%; lowest bin (1.999, 4.0] had 54.77%.",0.0072,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Department code is expected to be known at order creation but may duplicate department name.,Use with documented category/department grouping decisions.
Department Name,Department_Name,raw_dataco,categorical,allowed,deferred_to_gold,yes,Categorical: 11 groups; 8 met support. Strongest supported group 'Fitness' had late rate 55.55% (+0.72 pp vs overall).,Highest supported rate: 'Fitness' 55.55%; lowest: 'Discs Shop' 54.44%.,0.0072,Minimum support 903; 3 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Department name is expected to be known at order creation and has clear business meaning.,Can be normalized and encoded inside train-only preprocessing.
Latitude,Latitude,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 33.182; on-time class median 33.127; missing rate 0.00%.,"Highest supported bin (34.114, 40.211] had late rate 55.20%; lowest bin (-33.939, 18.252] had 54.46%.",0.0074,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,"Latitude appears to describe customer/store geography and is expected to be known before dispatch, but precision should be controlled.",Prefer rounded coordinates or regional grouping for modeling.
Longitude,Longitude,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median -76.932; on-time class median -76.710; missing rate 0.00%.,"Highest supported bin (-158.02700000000002, -112.121] had late rate 55.26%; lowest bin (-83.489, -73.69] had 54.23%.",0.0102,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,"Longitude appears to describe customer/store geography and is expected to be known before dispatch, but precision should be controlled.",Prefer rounded coordinates or regional grouping for modeling.
Market,Market,raw_dataco,categorical,allowed,deferred_to_gold,yes,Categorical: 5 groups; 5 met support. Strongest supported group 'LATAM' had late rate 54.36% (-0.47 pp vs overall).,Highest supported rate: 'Europe' 55.21%; lowest: 'LATAM' 54.36%.,-0.0047,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Market is an order destination operating region expected to be known before dispatch.,Can be used as a regional categorical feature after train-only encoding.
Order City,Order_City,raw_dataco,categorical,conditional,needs_group_review,requires_group_review,Skipped direct category ranking: 3597 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Order destination city is expected to be known before dispatch but may be high-cardinality.,"Use normalized city, grouped geography, or training-only encoding with review."
Order Country,Order_Country,raw_dataco,categorical,allowed,deferred_to_gold,yes,Skipped direct category ranking: 164 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Order destination country is expected to be known before dispatch and has clear business meaning.,Can be used as a regional categorical feature after train-only encoding.
Order Customer Id,Order_Customer_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Direct bivariate ranking skipped for this review-sensitive field.,Identifier/key field; do not interpret direct category or numeric bins as AO1 signal.,,Requires approved grouping or train-only aggregate design before modeling.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Order customer code is an identifier likely known at order creation but should not be used directly as a raw high-cardinality feature.,May support training-only historical aggregates if approved.
order date (DateOrders),order_date_DateOrders,raw_dataco,categorical,allowed,needs_group_review,requires_group_review,Raw order timestamp retained for chronological split and derived calendar features.,"Use derived order-time features, not the raw timestamp, for modeling review.",,Direct timestamp modeling requires explicit group review.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Order timestamp is known at order creation and is needed for chronological split and seasonality features.,Use derived calendar features; avoid treating raw timestamp as an unconstrained model feature.
Order Id,Order_Id,raw_dataco,numeric,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO1 modeling by leakage screening.,exclude_from_ao1_modeling,False,Exclude from AO1 predictor lists.,"Order ID is a row/order identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation."
Order Item Cardprod Id,Order_Item_Cardprod_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Direct bivariate ranking skipped for this review-sensitive field.,Identifier/key field; do not interpret direct category or numeric bins as AO1 signal.,,Requires approved grouping or train-only aggregate design before modeling.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Order-item product code is known at order creation but may be high-cardinality.,Use only after product grouping or train-only encoding review.
Order Item Discount,Order_Item_Discount,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 14.000; on-time class median 14.040; missing rate 0.00%.,"Highest supported bin (-0.001, 4.0] had late rate 55.14%; lowest bin (19.5, 34.0] had 54.46%.",0.0068,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Discount value is likely known at order time but must be reviewed for AO2 target-reconstruction risk.,Allowed only if documented as pre-dispatch and not used to reconstruct profit target.
Order Item Discount Rate,Order_Item_Discount_Rate,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 0.090; on-time class median 0.100; missing rate 0.00%.,"Highest supported bin (0.17, 0.25] had late rate 55.26%; lowest bin (0.12, 0.17] had 54.55%.",0.007,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Discount rate is likely known at order time but must be reviewed for AO2 target-reconstruction risk.,Can support commercial structure features with AO2 review.
Order Item Id,Order_Item_Id,raw_dataco,numeric,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO1 modeling by leakage screening.,exclude_from_ao1_modeling,False,Exclude from AO1 predictor lists.,"Order item ID is a row/item identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation."
Order Item Product Price,Order_Item_Product_Price,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 59.990; on-time class median 65.000; missing rate 0.00%.,"Highest supported bin (9.989, 49.98] had late rate 55.15%; lowest bin (59.99, 129.99] had 54.45%.",0.007,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Product price is expected to be known at order time but may duplicate Product Price.,Prefer one price field only; document AO2 financial predictor selection.
Order Item Profit Ratio,Order_Item_Profit_Ratio,raw_dataco,numeric,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,"Excluded from AO1 modeling because it is an outcome, post-event field, or target proxy.",dashboard_only,False,"Use only for descriptive dashboard, target audit, or governance context.",Realized profit ratio can reconstruct or approximate AO2 target when combined with order value.,"Use only for descriptive historical margin audit, never as main AO2 predictor."
Order Item Quantity,Order_Item_Quantity,raw_dataco,categorical,allowed,deferred_to_gold,yes,Categorical: 5 groups; 5 met support. Strongest supported group '2' had late rate 54.34% (-0.49 pp vs overall).,Highest supported rate: '3' 55.12%; lowest: '2' 54.34%.,-0.0049,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Item quantity is order composition information expected to be known at order creation.,"Can be used directly as a numeric predictor after validation; if included in AO2 with price, discount, or order-value fields, document the final commercial feature set."
Sales,Sales,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 199.920; on-time class median 199.920; missing rate 0.00%.,"Highest supported bin (9.989, 100.0] had late rate 55.25%; lowest bin (199.99, 299.98] had 54.60%.",0.0064,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Gross sales is order-value information but may be mechanically tied to price and quantity.,Allowed only with documented AO2 financial predictor policy; avoid redundant value fields.
Order Item Total,Order_Item_Total,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 163.990; on-time class median 163.990; missing rate 0.00%.,"Highest supported bin (7.489, 94.5] had late rate 55.08%; lowest bin (128.69, 188.99] had 54.64%.",0.0044,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Discounted item/order value is expected to be known at order time and is recommended as AO3 denominator.,Conditionally allowed for AO2/AO3 with documented financial predictor policy.
Order Profit Per Order,Order_Profit_Per_Order,raw_dataco,numeric,forbidden,approved,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO1 modeling by leakage screening.,exclude_from_ao1_modeling,False,Exclude from AO1 predictor lists.,This is the official AO2 target and must not be used as an AO2 predictor.,"Use as AO2 target only; exclude from AO1, AO2, and dashboard predictor feature matrices."
Order Region,Order_Region,raw_dataco,categorical,allowed,deferred_to_gold,yes,Categorical: 23 groups; 22 met support. Strongest supported group 'Canada' had late rate 48.80% (-6.03 pp vs overall).,Highest supported rate: 'Central Africa' 57.96%; lowest: 'Canada' 48.80%.,-0.0603,Minimum support 903; 1 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Order destination region is expected to be known before dispatch and has clear business meaning.,Can be normalized and encoded inside train-only preprocessing.
Order State,Order_State,raw_dataco,categorical,allowed,deferred_to_gold,yes,Skipped direct category ranking: 1089 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Order destination state is expected to be known before dispatch and supports regional analysis.,Can be normalized or grouped before train-only encoding.
Order Status,Order_Status,raw_dataco,categorical,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,"Excluded from AO1 modeling because it is an outcome, post-event field, or target proxy.",dashboard_only,False,"Use only for descriptive dashboard, target audit, or governance context.","Order status may encode cancellation, fraud, payment review, or fulfillment outcomes after order creation.",Use only for descriptive analysis or AO1 population sensitivity decisions.
Order Zipcode,Order_Zipcode,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Direct bivariate ranking skipped for this review-sensitive field.,Raw postal code is granular geography; use availability flags or approved coarse grouping instead.,,Requires approved grouping or train-only aggregate design before modeling.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Order postal code may be known before dispatch but has high missingness and granular geography.,Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.
Product Card Id,Product_Card_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Direct bivariate ranking skipped for this review-sensitive field.,Identifier/key field; do not interpret direct category or numeric bins as AO1 signal.,,Requires approved grouping or train-only aggregate design before modeling.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Product code is known at order time but may be high-cardinality.,Use only after product grouping or train-only encoding review.
Product Category Id,Product_Category_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 29.000; on-time class median 29.000; missing rate 0.00%.,"Highest supported bin (24.0, 43.0] had late rate 55.00%; lowest bin (17.0, 24.0] had 54.52%.",0.0048,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Product category code is known at order time but may duplicate Category Id.,Use one category representation and document the choice.
Product Description,Product_Description,raw_dataco,unknown,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO1 modeling by leakage screening.,exclude_from_ao1_modeling,False,Exclude from AO1 predictor lists.,Product description is empty in the reviewed dataset and not useful for structured modeling.,Exclude from modeling; descriptive metadata only if populated in future data.
Product Image,Product_Image,raw_dataco,categorical,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,"Excluded from AO1 modeling because it is an outcome, post-event field, or target proxy.",dashboard_only,False,"Use only for descriptive dashboard, target audit, or governance context.",Product image URL/text asset is not part of the structured pre-shipment model.,Use only for dashboard or catalog display if needed.
Product Name,Product_Name,raw_dataco,categorical,conditional,needs_group_review,requires_group_review,Skipped direct category ranking: 118 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Product name is known at order time but may be high-cardinality.,Use normalized product name only after grouping or train-only encoding review.
Product Price,Product_Price,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 59.990; on-time class median 65.000; missing rate 0.00%.,"Highest supported bin (9.989, 49.98] had late rate 55.15%; lowest bin (59.99, 129.99] had 54.45%.",0.007,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Product list price is expected to be known at order time but may duplicate Order Item Product Price.,Prefer one price field only; document AO2 financial predictor selection.
Product Status,Product_Status,raw_dataco,binary,conditional,needs_group_review,requires_group_review,Categorical: 1 groups; 1 met support. Strongest supported group '0' had late rate 54.83% (+0.00 pp vs overall).,Highest supported rate: '0' 54.83%; lowest: '0' 54.83%.,0.0,Minimum support 903; 0 groups below threshold.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Product stock/status indicator is expected to be known before dispatch but source semantics should be preserved cautiously.,Use neutral feature naming and document interpretation before modeling.
shipping date (DateOrders),shipping_date_DateOrders,raw_dataco,categorical,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,"Excluded from AO1 modeling because it is an outcome, post-event field, or target proxy.",dashboard_only,False,"Use only for descriptive dashboard, target audit, or governance context.",Shipment timestamp is known after order creation and may encode fulfillment timing.,"Use only for operational reporting and outcome audit, not predictive features."
Shipping Mode,Shipping_Mode,raw_dataco,categorical,allowed,deferred_to_gold,yes,Categorical: 4 groups; 4 met support. Strongest supported group 'First Class' had late rate 95.32% (+40.49 pp vs overall).,Highest supported rate: 'First Class' 95.32%; lowest: 'Standard Class' 38.07%.,0.4049,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Shipping mode is selected/planned before dispatch and has clear operational meaning.,Can support shipping mode and speed-tier features.
order_year,order_year,order_time_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 4 groups; 4 met support. Strongest supported group '2018' had late rate 56.29% (+1.46 pp vs overall).,Highest supported rate: '2018' 56.29%; lowest: '2017' 54.45%.,0.0146,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.
order_quarter,order_quarter,order_time_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 4 groups; 4 met support. Strongest supported group '3' had late rate 55.05% (+0.22 pp vs overall).,Highest supported rate: '3' 55.05%; lowest: '2' 54.61%.,0.0022,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.
order_month,order_month,order_time_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 12 groups; 12 met support. Strongest supported group '8' had late rate 55.79% (+0.97 pp vs overall).,Highest supported rate: '8' 55.79%; lowest: '7' 54.06%.,0.0097,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.
