variable_name,screening_status,ao1_policy,reason_for_review,potential_slice_value,recommended_treatment,group_decision_needed
Product Card Id,needs_group_review,conditional,Product code is known at order time but may be high-cardinality. Required action: Use only after product grouping or train-only encoding review.,"available; 118 distinct values; high-cardinality review required before slicing; top value 365 has 24,515 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Product Category Id,needs_group_review,conditional,Product category code is known at order time but may duplicate Category Id. Required action: Use one category representation and document the choice.,"available; 51 distinct values; high-cardinality review required before slicing; top value 17 has 24,551 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Product Name,needs_group_review,conditional,Product name is known at order time but may be high-cardinality. Required action: Use normalized product name only after grouping or train-only encoding review.,"available; 118 distinct values; high-cardinality review required before slicing; top value Perfect Fitness Perfect Rip Deck has 24,515 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Product Price,needs_group_review,conditional,Product list price is expected to be known at order time but may duplicate Order Item Product Price. Required action: Prefer one price field only; document AO2 financial predictor selection.,"available; 75 distinct values; high-cardinality review required before slicing; top value 59.99000168 has 24,820 rows",Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Product Status,needs_group_review,conditional,Product stock/status indicator is expected to be known before dispatch but source semantics should be preserved cautiously. Required action: Use neutral feature naming and document interpretation before modeling.,"available; 1 distinct values; top value 0 has 180,519 rows",Do not use as an approved modeling slice until group validation is complete.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
product_catalog_key,needs_group_review,conditional,"Product catalog composition key may be high-cardinality and should not be blindly encoded. Required action: Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
product_name_normalized,needs_group_review,conditional,"Normalized product name may be high-cardinality and unstable across catalog changes. Required action: Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
product_status_flag,needs_group_review,conditional,"Product status source semantics require group confirmation before predictive use. Required action: Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use.",not present or not derived in this focused EDA input,Do not use as an approved modeling slice until group validation is complete.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
product_list_price,needs_group_review,allowed,Product list price is order-time commercial information but may duplicate item_unit_price source fields. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
order_item_quantity,needs_group_review,allowed,"This engineered quantity is decision-time valid, but it is reviewed with the AO2 commercial feature family to avoid an uncontrolled financial/order-composition predictor set. Required action: Document whether AO2 uses this quantity alone, with selected price/discount fields, or excludes it from the main profitability model.",not present or not derived in this focused EDA input,Do not use as an approved modeling slice until group validation is complete.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_unit_price,needs_group_review,allowed,Item unit price is order-time commercial information but may duplicate product_list_price source fields. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_discount_amount,needs_group_review,allowed,Discount amount is expected at order time but requires AO2 target-reconstruction and redundancy review. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_discount_rate,needs_group_review,allowed,Discount rate is expected at order time but requires AO2 target-reconstruction and redundancy review. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_gross_sales_estimate,needs_group_review,allowed,Gross value estimate is derived from price and quantity and may duplicate Sales-like value fields. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_net_sales_amount,needs_group_review,allowed,Net sales amount comes from Order Item Total and is recommended as AO3 denominator but must be reviewed for AO2 use. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_discount_share_of_gross,needs_group_review,allowed,Discount share is derived from order value components and should be reviewed before AO2 modeling. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
customer_city_normalized,needs_group_review,conditional,"Customer city may be high-cardinality and unstable for direct modeling. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
order_city_normalized,needs_group_review,conditional,"Destination city may be high-cardinality and unstable for direct modeling. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
customer_region_key,needs_group_review,conditional,"Customer region key combines multiple location levels and may be high-cardinality. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
order_region_key,needs_group_review,conditional,"Destination region key combines multiple location levels and may be high-cardinality. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
latitude_rounded,needs_group_review,conditional,"Rounded latitude reduces precision but still needs review for geographic granularity and stability. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
longitude_rounded,needs_group_review,conditional,"Rounded longitude reduces precision but still needs review for geographic granularity and stability. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
