source_artifact,feature_name,normalized_feature_name,feature_role,policy_status,matched_policy_rule,review_note
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_al,categorical_customer_state_normalized_al,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ar,categorical_customer_state_normalized_ar,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_az,categorical_customer_state_normalized_az,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ca,categorical_customer_state_normalized_ca,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_co,categorical_customer_state_normalized_co,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ct,categorical_customer_state_normalized_ct,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_dc,categorical_customer_state_normalized_dc,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_de,categorical_customer_state_normalized_de,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_fl,categorical_customer_state_normalized_fl,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ga,categorical_customer_state_normalized_ga,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_hi,categorical_customer_state_normalized_hi,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ia,categorical_customer_state_normalized_ia,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_id,categorical_customer_state_normalized_id,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_il,categorical_customer_state_normalized_il,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_in,categorical_customer_state_normalized_in,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ks,categorical_customer_state_normalized_ks,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ky,categorical_customer_state_normalized_ky,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_la,categorical_customer_state_normalized_la,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ma,categorical_customer_state_normalized_ma,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_md,categorical_customer_state_normalized_md,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_mi,categorical_customer_state_normalized_mi,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_mn,categorical_customer_state_normalized_mn,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_mo,categorical_customer_state_normalized_mo,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_mt,categorical_customer_state_normalized_mt,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_nc,categorical_customer_state_normalized_nc,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_nd,categorical_customer_state_normalized_nd,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_nj,categorical_customer_state_normalized_nj,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_nm,categorical_customer_state_normalized_nm,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_nv,categorical_customer_state_normalized_nv,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ny,categorical_customer_state_normalized_ny,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_oh,categorical_customer_state_normalized_oh,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ok,categorical_customer_state_normalized_ok,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_or,categorical_customer_state_normalized_or,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_pa,categorical_customer_state_normalized_pa,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_pr,categorical_customer_state_normalized_pr,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ri,categorical_customer_state_normalized_ri,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_sc,categorical_customer_state_normalized_sc,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_tn,categorical_customer_state_normalized_tn,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_tx,categorical_customer_state_normalized_tx,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_ut,categorical_customer_state_normalized_ut,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_va,categorical_customer_state_normalized_va,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_wa,categorical_customer_state_normalized_wa,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_wi,categorical_customer_state_normalized_wi,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_state_normalized_wv,categorical_customer_state_normalized_wv,feature_importance_driver,caution,caution_approved:customer_state_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__market_normalized_africa,categorical_market_normalized_africa,feature_importance_driver,caution,caution_approved:market_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__market_normalized_europe,categorical_market_normalized_europe,feature_importance_driver,caution,caution_approved:market_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__market_normalized_latam,categorical_market_normalized_latam,feature_importance_driver,caution,caution_approved:market_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__market_normalized_pacific_asia,categorical_market_normalized_pacific_asia,feature_importance_driver,caution,caution_approved:market_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__market_normalized_usca,categorical_market_normalized_usca,feature_importance_driver,caution,caution_approved:market_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_afganistn,categorical_order_country_normalized_afganistn,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_albania,categorical_order_country_normalized_albania,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_alemania,categorical_order_country_normalized_alemania,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_angola,categorical_order_country_normalized_angola,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_arabia_saud,categorical_order_country_normalized_arabia_saud,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_argelia,categorical_order_country_normalized_argelia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_argentina,categorical_order_country_normalized_argentina,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_armenia,categorical_order_country_normalized_armenia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_australia,categorical_order_country_normalized_australia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_austria,categorical_order_country_normalized_austria,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_azerbaiyn,categorical_order_country_normalized_azerbaiyn,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_banglads,categorical_order_country_normalized_banglads,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_barbados,categorical_order_country_normalized_barbados,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_belice,categorical_order_country_normalized_belice,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_benn,categorical_order_country_normalized_benn,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_bielorrusia,categorical_order_country_normalized_bielorrusia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_blgica,categorical_order_country_normalized_blgica,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_bolivia,categorical_order_country_normalized_bolivia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_bosnia_y_herzegovina,categorical_order_country_normalized_bosnia_y_herzegovina,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_botsuana,categorical_order_country_normalized_botsuana,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_brasil,categorical_order_country_normalized_brasil,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_bulgaria,categorical_order_country_normalized_bulgaria,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_burkina_faso,categorical_order_country_normalized_burkina_faso,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_butn,categorical_order_country_normalized_butn,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_camboya,categorical_order_country_normalized_camboya,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_camern,categorical_order_country_normalized_camern,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_canada,categorical_order_country_normalized_canada,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_chile,categorical_order_country_normalized_chile,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_china,categorical_order_country_normalized_china,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_chipre,categorical_order_country_normalized_chipre,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_colombia,categorical_order_country_normalized_colombia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_corea_del_sur,categorical_order_country_normalized_corea_del_sur,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_costa_de_marfil,categorical_order_country_normalized_costa_de_marfil,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_costa_rica,categorical_order_country_normalized_costa_rica,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_croacia,categorical_order_country_normalized_croacia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_cuba,categorical_order_country_normalized_cuba,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_dinamarca,categorical_order_country_normalized_dinamarca,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_ecuador,categorical_order_country_normalized_ecuador,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_egipto,categorical_order_country_normalized_egipto,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_el_salvador,categorical_order_country_normalized_el_salvador,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_emiratos_rabes_unidos,categorical_order_country_normalized_emiratos_rabes_unidos,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_eslovaquia,categorical_order_country_normalized_eslovaquia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_eslovenia,categorical_order_country_normalized_eslovenia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_espaa,categorical_order_country_normalized_espaa,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_estados_unidos,categorical_order_country_normalized_estados_unidos,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_estonia,categorical_order_country_normalized_estonia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_filipinas,categorical_order_country_normalized_filipinas,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_finlandia,categorical_order_country_normalized_finlandia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_francia,categorical_order_country_normalized_francia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_gabn,categorical_order_country_normalized_gabn,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_georgia,categorical_order_country_normalized_georgia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_ghana,categorical_order_country_normalized_ghana,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_grecia,categorical_order_country_normalized_grecia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_guadalupe,categorical_order_country_normalized_guadalupe,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_guatemala,categorical_order_country_normalized_guatemala,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_guayana_francesa,categorical_order_country_normalized_guayana_francesa,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_guinea,categorical_order_country_normalized_guinea,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_guineabissau,categorical_order_country_normalized_guineabissau,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_guyana,categorical_order_country_normalized_guyana,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_hait,categorical_order_country_normalized_hait,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_honduras,categorical_order_country_normalized_honduras,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_hong_kong,categorical_order_country_normalized_hong_kong,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_hungra,categorical_order_country_normalized_hungra,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_india,categorical_order_country_normalized_india,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__order_country_normalized_indonesia,categorical_order_country_normalized_indonesia,feature_importance_driver,caution,caution_approved:order_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
