feature_name,rank,mean_abs_shap_value,importance_share,mean_signed_shap_value,driver_category,interpretation_note,target_policy_status,business_plausibility_note,model_name,input_slice,sample_size,final_test_used
categorical__order_state_normalized_drenthe,11,37.93975,0.024435364,-37.93975,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_stvropol,12,36.40762,0.023448585,-36.40762,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_mequineztafilalet,13,31.921362,0.020559179,-31.921362,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_zhytmyr,14,30.85819,0.019874435,-30.85819,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
numeric_continuous__item_discount_rate,15,29.924955,0.019273378,17.802603,discount_policy,Discount-rate features are approved predictors but need caution because AO2 target reconstruction is a known risk.,caution,"Commercially plausible and approved, but interpret cautiously because profitability prediction is vulnerable to target reconstruction.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__product_category_key_45_fishing,16,27.852291,0.017938465,-27.852291,product_mix,Product category or department can reflect assortment-level margin differences.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__customer_state_normalized_in,17,26.73739,0.017220406,-26.73739,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_tripura,18,24.843273,0.016000485,-24.843273,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_gansu,19,24.20707,0.015590734,-24.20707,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
numeric_continuous__order_item_quantity,20,21.086575,0.013580957,-0.36924994,order_quantity,Quantity is an approved commercial predictor but should be interpreted cautiously near profitability formulas.,caution,"Commercially plausible and approved, but interpret cautiously because profitability prediction is vulnerable to target reconstruction.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
