variable_name,analysis_column,variable_origin,variable_type,ao2_policy,screening_status,decision_time_valid,target_reconstruction_risk,eda_summary,notable_pattern,profit_difference_from_overall,sample_size_caveat,leakage_review_result,modeling_recommendation,requires_group_validation,recommended_action,financial_or_commercial_review_field,source_rationale,required_action_from_screening
Market,Market,raw_dataco,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 5 groups; 5 met support. Strongest supported group 'Europe' had mean profit $23.27 (+1.30 vs overall).,Highest supported mean: 'Europe' $23.27; lowest: 'Pacific Asia' $20.79.,1.2966,Minimum support 903; 0 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Market is an order destination operating region expected to be known before dispatch.,Can be used as a regional categorical feature after train-only encoding.
Order City,Order_City,raw_dataco,categorical,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Skipped direct category ranking: 3597 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Order destination city is expected to be known before dispatch but may be high-cardinality.,"Use normalized city, grouped geography, or training-only encoding with review."
Order Country,Order_Country,raw_dataco,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Skipped direct category ranking: 164 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Order destination country is expected to be known before dispatch and has clear business meaning.,Can be used as a regional categorical feature after train-only encoding.
Order Customer Id,Order_Customer_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Identifier or numeric key; direct bivariate ranking is not a modeling signal.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Order customer code is an identifier likely known at order creation but should not be used directly as a raw high-cardinality feature.,May support training-only historical aggregates if approved.
order date (DateOrders),order_date_DateOrders,raw_dataco,categorical,allowed,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Raw timestamp should be replaced by approved derived features for modeling review.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Order timestamp is known at order creation and is needed for chronological split and seasonality features.,Use derived calendar features; avoid treating raw timestamp as an unconstrained model feature.
Order Id,Order_Id,raw_dataco,numeric,forbidden,excluded,no,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling by leakage screening.,Exclude from AO2 predictor lists.,False,exclude_from_ao2_modeling,False,"Order ID is a row/order identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation."
Order Item Cardprod Id,Order_Item_Cardprod_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Identifier or numeric key; direct bivariate ranking is not a modeling signal.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Order-item product code is known at order creation but may be high-cardinality.,Use only after product grouping or train-only encoding review.
Order Item Discount,Order_Item_Discount,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (34.0, 500.0] had mean profit $32.49 (+10.51 vs overall).","nonlinear or uneven bin pattern; highest supported bin (34.0, 500.0] $32.49; lowest bin (4.0, 10.0] $16.44.",10.5119,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Discount value is likely known at order time but must be reviewed for AO2 target-reconstruction risk.,Allowed only if documented as pre-dispatch and not used to reconstruct profit target.
Order Item Discount Rate,Order_Item_Discount_Rate,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (0.17, 0.25] had mean profit $19.03 (-2.94 vs overall).","mean profit decreases across supported bins; highest supported bin (-0.001, 0.03] $24.08; lowest bin (0.17, 0.25] $19.03.",-2.9424,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Discount rate is likely known at order time but must be reviewed for AO2 target-reconstruction risk.,Can support commercial structure features with AO2 review.
Order Item Id,Order_Item_Id,raw_dataco,numeric,forbidden,excluded,no,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling by leakage screening.,Exclude from AO2 predictor lists.,False,exclude_from_ao2_modeling,False,"Order item ID is a row/item identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation."
Order Item Product Price,Order_Item_Product_Price,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (215.82, 1999.99] had mean profit $39.99 (+18.01 vs overall).","mean profit increases across supported bins; highest supported bin (215.82, 1999.99] $39.99; lowest bin (9.989, 49.98] $12.76.",18.0134,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Product price is expected to be known at order time but may duplicate Product Price.,Prefer one price field only; document AO2 financial predictor selection.
Order Item Profit Ratio,Order_Item_Profit_Ratio,raw_dataco,numeric,forbidden,excluded,target_or_proxy,high_target_or_profit_proxy,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,"Excluded from AO2 predictors because it is the target, duplicate profit, realized margin, or direct profit proxy.","Exclude from AO2 predictors as target, duplicate profit, or realized profit proxy.",False,target_or_proxy_excluded,True,Realized profit ratio can reconstruct or approximate AO2 target when combined with order value.,"Use only for descriptive historical margin audit, never as main AO2 predictor."
Order Item Quantity,Order_Item_Quantity,raw_dataco,categorical_numeric,allowed,deferred_to_gold,requires_group_review,commercial_formula_review_required,Categorical: 5 groups; 5 met support. Strongest supported group '2' had mean profit $12.24 (-9.74 vs overall).,Highest supported mean: '5' $29.95; lowest: '2' $12.24.,-9.7362,Minimum support 903; 0 groups below threshold.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Item quantity is order composition information expected to be known at order creation.,"Can be used directly as a numeric predictor after validation; if included in AO2 with price, discount, or order-value fields, document the final commercial feature set."
Sales,Sales,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (299.98, 1999.99] had mean profit $46.27 (+24.29 vs overall).","mean profit increases across supported bins; highest supported bin (299.98, 1999.99] $46.27; lowest bin (9.989, 100.0] $7.41.",24.2917,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Gross sales is order-value information but may be mechanically tied to price and quantity.,Allowed only with documented AO2 financial predictor policy; avoid redundant value fields.
Order Item Total,Order_Item_Total,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (272.98, 1939.99] had mean profit $42.81 (+20.83 vs overall).","mean profit increases across supported bins; highest supported bin (272.98, 1939.99] $42.81; lowest bin (7.489, 94.5] $6.89.",20.8311,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Discounted item/order value is expected to be known at order time and is recommended as AO3 denominator.,Conditionally allowed for AO2/AO3 with documented financial predictor policy.
Order Profit Per Order,Order_Profit_Per_Order,raw_dataco,numeric,target,approved,target_or_proxy,high_target_or_profit_proxy,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,"Excluded from AO2 predictors because it is the target, duplicate profit, realized margin, or direct profit proxy.","Exclude from AO2 predictors as target, duplicate profit, or realized profit proxy.",False,target_or_proxy_excluded,True,This is the official AO2 target and must not be used as an AO2 predictor.,"Use as AO2 target only; exclude from AO1, AO2, and dashboard predictor feature matrices."
Order Region,Order_Region,raw_dataco,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 23 groups; 22 met support. Strongest supported group 'Southern Africa' had mean profit $26.64 (+4.67 vs overall).,Highest supported mean: 'Southern Africa' $26.64; lowest: 'West Asia' $19.77.,4.6681,Minimum support 903; 1 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Order destination region is expected to be known before dispatch and has clear business meaning.,Can be normalized and encoded inside train-only preprocessing.
Order State,Order_State,raw_dataco,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Skipped direct category ranking: 1089 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Order destination state is expected to be known before dispatch and supports regional analysis.,Can be normalized or grouped before train-only encoding.
Order Status,Order_Status,raw_dataco,categorical,forbidden,excluded,no,post_outcome_or_leakage_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling; retained only for descriptive audit or dashboard context.,"Use only for descriptive audit, dashboard, or governance context.",False,dashboard_only,False,"Order status may encode cancellation, fraud, payment review, or fulfillment outcomes after order creation.",Use only for descriptive analysis or AO1 population sensitivity decisions.
Order Zipcode,Order_Zipcode,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Granular location field; use only approved coarse grouping or availability flags.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Order postal code may be known before dispatch but has high missingness and granular geography.,Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.
Product Card Id,Product_Card_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Identifier or numeric key; direct bivariate ranking is not a modeling signal.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Product code is known at order time but may be high-cardinality.,Use only after product grouping or train-only encoding review.
Product Category Id,Product_Category_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Identifier or numeric key; direct bivariate ranking is not a modeling signal.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Product category code is known at order time but may duplicate Category Id.,Use one category representation and document the choice.
Product Description,Product_Description,raw_dataco,empty,forbidden,excluded,no,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling by leakage screening.,Exclude from AO2 predictor lists.,False,exclude_from_ao2_modeling,False,Product description is empty in the reviewed dataset and not useful for structured modeling.,Exclude from modeling; descriptive metadata only if populated in future data.
Product Image,Product_Image,raw_dataco,categorical,forbidden,excluded,no,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling; retained only for descriptive audit or dashboard context.,"Use only for descriptive audit, dashboard, or governance context.",False,dashboard_only,False,Product image URL/text asset is not part of the structured pre-shipment model.,Use only for dashboard or catalog display if needed.
Product Name,Product_Name,raw_dataco,categorical,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Skipped direct category ranking: 118 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Product name is known at order time but may be high-cardinality.,Use normalized product name only after grouping or train-only encoding review.
Product Price,Product_Price,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (215.82, 1999.99] had mean profit $39.99 (+18.01 vs overall).","mean profit increases across supported bins; highest supported bin (215.82, 1999.99] $39.99; lowest bin (9.989, 49.98] $12.76.",18.0134,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Product list price is expected to be known at order time but may duplicate Order Item Product Price.,Prefer one price field only; document AO2 financial predictor selection.
Product Status,Product_Status,raw_dataco,categorical_numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Categorical: 1 groups; 1 met support. Strongest supported group '0' had mean profit $21.97 (+0.00 vs overall).,Highest supported mean: '0' $21.97; lowest: '0' $21.97.,0.0,Minimum support 903; 0 groups below threshold.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Product stock/status indicator is expected to be known before dispatch but source semantics should be preserved cautiously.,Use neutral feature naming and document interpretation before modeling.
shipping date (DateOrders),shipping_date_DateOrders,raw_dataco,categorical,forbidden,excluded,no,post_outcome_or_leakage_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling; retained only for descriptive audit or dashboard context.,"Use only for descriptive audit, dashboard, or governance context.",False,dashboard_only,False,Shipment timestamp is known after order creation and may encode fulfillment timing.,"Use only for operational reporting and outcome audit, not predictive features."
