variable_name,variable_origin,source_artifact,decision_time_availability,ao1_policy,ao2_policy,dashboard_policy,modeling_policy,screening_status,rationale,required_action,related_document
Order Country,raw_dataco,data/references/feature_availability_map.csv,order_creation,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Order destination country is expected to be known before dispatch and has clear business meaning.,Can be used as a regional categorical feature after train-only encoding.,docs/leakage_control_plan.md
Order Customer Id,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Order customer code is an identifier likely known at order creation but should not be used directly as a raw high-cardinality feature.,May support training-only historical aggregates if approved.,docs/leakage_control_plan.md
order date (DateOrders),raw_dataco,data/references/feature_availability_map.csv,order_creation,allowed,allowed,allowed,conditional_review,needs_group_review,Order timestamp is known at order creation and is needed for chronological split and seasonality features.,Use derived calendar features; avoid treating raw timestamp as an unconstrained model feature.,docs/leakage_control_plan.md
Order Id,raw_dataco,data/references/feature_availability_map.csv,order_creation,forbidden,forbidden,allowed,forbidden_predictor,excluded,"Order ID is a row/order identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation.",docs/leakage_control_plan.md
Order Item Cardprod Id,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Order-item product code is known at order creation but may be high-cardinality.,Use only after product grouping or train-only encoding review.,docs/leakage_control_plan.md
Order Item Discount,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Discount value is likely known at order time but must be reviewed for AO2 target-reconstruction risk.,Allowed only if documented as pre-dispatch and not used to reconstruct profit target.,docs/ao2_target_policy.md
Order Item Discount Rate,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Discount rate is likely known at order time but must be reviewed for AO2 target-reconstruction risk.,Can support commercial structure features with AO2 review.,docs/ao2_target_policy.md
Order Item Id,raw_dataco,data/references/feature_availability_map.csv,order_creation,forbidden,forbidden,allowed,forbidden_predictor,excluded,"Order item ID is a row/item identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation.",docs/leakage_control_plan.md
Order Item Product Price,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Product price is expected to be known at order time but may duplicate Product Price.,Prefer one price field only; document AO2 financial predictor selection.,docs/ao2_target_policy.md
Order Item Profit Ratio,raw_dataco,data/references/feature_availability_map.csv,target_or_outcome,forbidden,forbidden,dashboard_only,dashboard_only,excluded,Realized profit ratio can reconstruct or approximate AO2 target when combined with order value.,"Use only for descriptive historical margin audit, never as main AO2 predictor.",docs/ao2_target_policy.md
Order Item Quantity,raw_dataco,data/references/feature_availability_map.csv,order_creation,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Item quantity is order composition information expected to be known at order creation.,"Can be used directly as a numeric predictor after validation; if included in AO2 with price, discount, or order-value fields, document the final commercial feature set.",docs/ao2_target_policy.md
Sales,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Gross sales is order-value information but may be mechanically tied to price and quantity.,Allowed only with documented AO2 financial predictor policy; avoid redundant value fields.,docs/ao2_target_policy.md
Order Item Total,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Discounted item/order value is expected to be known at order time and is recommended as AO3 denominator.,Conditionally allowed for AO2/AO3 with documented financial predictor policy.,docs/ao2_target_policy.md
Order Profit Per Order,raw_dataco,data/references/feature_availability_map.csv,target_or_outcome,forbidden,target,allowed,target_only,approved,This is the official AO2 target and must not be used as an AO2 predictor.,"Use as AO2 target only; exclude from AO1, AO2, and dashboard predictor feature matrices.",docs/ao2_target_policy.md
Order Region,raw_dataco,data/references/feature_availability_map.csv,order_creation,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Order destination region is expected to be known before dispatch and has clear business meaning.,Can be normalized and encoded inside train-only preprocessing.,docs/leakage_control_plan.md
Order State,raw_dataco,data/references/feature_availability_map.csv,order_creation,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Order destination state is expected to be known before dispatch and supports regional analysis.,Can be normalized or grouped before train-only encoding.,docs/leakage_control_plan.md
Order Status,raw_dataco,data/references/feature_availability_map.csv,after_order_review,forbidden,forbidden,dashboard_only,dashboard_only,excluded,"Order status may encode cancellation, fraud, payment review, or fulfillment outcomes after order creation.",Use only for descriptive analysis or AO1 population sensitivity decisions.,docs/ao1_target_definition.md
Order Zipcode,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Order postal code may be known before dispatch but has high missingness and granular geography.,Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.,docs/leakage_control_plan.md
Product Card Id,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Product code is known at order time but may be high-cardinality.,Use only after product grouping or train-only encoding review.,docs/leakage_control_plan.md
Product Category Id,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Product category code is known at order time but may duplicate Category Id.,Use one category representation and document the choice.,docs/leakage_control_plan.md
Product Description,raw_dataco,data/references/feature_availability_map.csv,descriptive_only,forbidden,forbidden,allowed,forbidden_predictor,excluded,Product description is empty in the reviewed dataset and not useful for structured modeling.,Exclude from modeling; descriptive metadata only if populated in future data.,docs/silver_cleaning_rules.md
Product Image,raw_dataco,data/references/feature_availability_map.csv,descriptive_only,forbidden,forbidden,dashboard_only,dashboard_only,excluded,Product image URL/text asset is not part of the structured pre-shipment model.,Use only for dashboard or catalog display if needed.,docs/leakage_control_plan.md
Product Name,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Product name is known at order time but may be high-cardinality.,Use normalized product name only after grouping or train-only encoding review.,docs/leakage_control_plan.md
Product Price,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Product list price is expected to be known at order time but may duplicate Order Item Product Price.,Prefer one price field only; document AO2 financial predictor selection.,docs/ao2_target_policy.md
Product Status,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Product stock/status indicator is expected to be known before dispatch but source semantics should be preserved cautiously.,Use neutral feature naming and document interpretation before modeling.,docs/leakage_control_plan.md
shipping date (DateOrders),raw_dataco,data/references/feature_availability_map.csv,after_shipment,forbidden,forbidden,dashboard_only,dashboard_only,excluded,Shipment timestamp is known after order creation and may encode fulfillment timing.,"Use only for operational reporting and outcome audit, not predictive features.",docs/ao1_target_definition.md
Shipping Mode,raw_dataco,data/references/feature_availability_map.csv,before_dispatch,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Shipping mode is selected/planned before dispatch and has clear operational meaning.,Can support shipping mode and speed-tier features.,docs/leakage_control_plan.md
order_year,order_time_engineered,src/data_engineering/engineer_order_time_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.,docs/order_time_features.md
order_quarter,order_time_engineered,src/data_engineering/engineer_order_time_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.,docs/order_time_features.md
order_month,order_time_engineered,src/data_engineering/engineer_order_time_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.,docs/order_time_features.md
order_week_of_year,order_time_engineered,src/data_engineering/engineer_order_time_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.,docs/order_time_features.md
order_day_of_month,order_time_engineered,src/data_engineering/engineer_order_time_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.,docs/order_time_features.md
order_day_of_week,order_time_engineered,src/data_engineering/engineer_order_time_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.,docs/order_time_features.md
order_hour,order_time_engineered,src/data_engineering/engineer_order_time_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.,docs/order_time_features.md
order_is_weekend,order_time_engineered,src/data_engineering/engineer_order_time_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.,docs/order_time_features.md
order_season,order_time_engineered,src/data_engineering/engineer_order_time_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.,docs/order_time_features.md
_order_time_features_processed_timestamp,order_time_engineered,src/data_engineering/engineer_order_time_features.py,processing_metadata,not_applicable,not_applicable,dashboard_only,dashboard_only,excluded,"Pipeline processing timestamp used for lineage, not business prediction.",Retain only for audit lineage; exclude from AO1 and AO2 predictor matrices.,docs/order_time_features.md
scheduled_shipping_days,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,before_dispatch_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.,docs/shipping_product_features.md
shipping_speed_tier,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,before_dispatch_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.,docs/shipping_product_features.md
shipping_mode_normalized,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,before_dispatch_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.,docs/shipping_product_features.md
is_same_day_or_next_day_shipping,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,before_dispatch_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.,docs/shipping_product_features.md
is_standard_shipping,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,before_dispatch_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.,docs/shipping_product_features.md
product_category_key,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,before_dispatch_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.,docs/shipping_product_features.md
product_department_key,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,before_dispatch_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.,docs/shipping_product_features.md
product_catalog_key,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,order_creation_derived,conditional,conditional,allowed,conditional_review,needs_group_review,Product catalog composition key may be high-cardinality and should not be blindly encoded.,"Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use.",docs/shipping_product_features.md
product_name_normalized,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,order_creation_derived,conditional,conditional,allowed,conditional_review,needs_group_review,Normalized product name may be high-cardinality and unstable across catalog changes.,"Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use.",docs/shipping_product_features.md
product_status_flag,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,order_creation_derived,conditional,conditional,allowed,conditional_review,needs_group_review,Product status source semantics require group confirmation before predictive use.,"Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use.",docs/shipping_product_features.md
product_list_price,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,order_creation_derived,allowed,conditional,allowed,conditional_review,needs_group_review,Product list price is order-time commercial information but may duplicate item_unit_price source fields.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,docs/ao2_target_policy.md
order_item_quantity,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,order_creation_derived,allowed,conditional,allowed,conditional_review,needs_group_review,"This engineered quantity is decision-time valid, but it is reviewed with the AO2 commercial feature family to avoid an uncontrolled financial/order-composition predictor set.","Document whether AO2 uses this quantity alone, with selected price/discount fields, or excludes it from the main profitability model.",docs/ao2_target_policy.md
item_unit_price,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,order_creation_derived,allowed,conditional,allowed,conditional_review,needs_group_review,Item unit price is order-time commercial information but may duplicate product_list_price source fields.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,docs/ao2_target_policy.md
item_discount_amount,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,order_creation_derived,allowed,conditional,allowed,conditional_review,needs_group_review,Discount amount is expected at order time but requires AO2 target-reconstruction and redundancy review.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,docs/ao2_target_policy.md
item_discount_rate,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,order_creation_derived,allowed,conditional,allowed,conditional_review,needs_group_review,Discount rate is expected at order time but requires AO2 target-reconstruction and redundancy review.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,docs/ao2_target_policy.md
item_gross_sales_estimate,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,order_creation_derived,allowed,conditional,allowed,conditional_review,needs_group_review,Gross value estimate is derived from price and quantity and may duplicate Sales-like value fields.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,docs/ao2_target_policy.md
item_net_sales_amount,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,order_creation_derived,allowed,conditional,allowed,conditional_review,needs_group_review,Net sales amount comes from Order Item Total and is recommended as AO3 denominator but must be reviewed for AO2 use.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,docs/ao2_target_policy.md
item_discount_share_of_gross,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,order_creation_derived,allowed,conditional,allowed,conditional_review,needs_group_review,Discount share is derived from order value components and should be reviewed before AO2 modeling.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,docs/ao2_target_policy.md
_shipping_product_features_processed_timestamp,shipping_product_engineered,src/data_engineering/engineer_shipping_product_features.py,processing_metadata,not_applicable,not_applicable,dashboard_only,dashboard_only,excluded,"Pipeline processing timestamp used for lineage, not business prediction.",Retain only for audit lineage; exclude from AO1 and AO2 predictor matrices.,docs/shipping_product_features.md
customer_segment_normalized,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
customer_country_normalized,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
customer_state_normalized,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
customer_zipcode_available,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
market_normalized,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
order_country_normalized,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
order_region_normalized,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
order_state_normalized,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
order_zipcode_available,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
customer_order_country_match,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
customer_order_state_match,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
geo_coordinates_available,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,allowed,allowed,allowed,candidate_feature,deferred_to_gold,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.,docs/customer_regional_features.md
customer_city_normalized,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,conditional,conditional,allowed,conditional_review,needs_group_review,Customer city may be high-cardinality and unstable for direct modeling.,"Review cardinality, privacy, stability, and grouping strategy before modeling use.",docs/customer_regional_features.md
order_city_normalized,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,conditional,conditional,allowed,conditional_review,needs_group_review,Destination city may be high-cardinality and unstable for direct modeling.,"Review cardinality, privacy, stability, and grouping strategy before modeling use.",docs/customer_regional_features.md
customer_region_key,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,conditional,conditional,allowed,conditional_review,needs_group_review,Customer region key combines multiple location levels and may be high-cardinality.,"Review cardinality, privacy, stability, and grouping strategy before modeling use.",docs/customer_regional_features.md
order_region_key,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,conditional,conditional,allowed,conditional_review,needs_group_review,Destination region key combines multiple location levels and may be high-cardinality.,"Review cardinality, privacy, stability, and grouping strategy before modeling use.",docs/customer_regional_features.md
latitude_rounded,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,conditional,conditional,allowed,conditional_review,needs_group_review,Rounded latitude reduces precision but still needs review for geographic granularity and stability.,"Review cardinality, privacy, stability, and grouping strategy before modeling use.",docs/customer_regional_features.md
longitude_rounded,customer_regional_engineered,src/data_engineering/engineer_customer_regional_features.py,order_creation_derived,conditional,conditional,allowed,conditional_review,needs_group_review,Rounded longitude reduces precision but still needs review for geographic granularity and stability.,"Review cardinality, privacy, stability, and grouping strategy before modeling use.",docs/customer_regional_features.md
