source_column,silver_column,semantic_group,availability_timing,ao1_policy,ao2_policy,dashboard_policy,modeling_use,rationale,derived_feature_guidance,related_document
Market,Market,order_region,order_creation,allowed,allowed,allowed,direct_candidate,"Market is an order destination operating region expected to be known before dispatch.","Can be used as a regional categorical feature after train-only encoding.","docs/leakage_control_plan.md"
Order City,Order_City,order_region,order_creation,review,review,allowed,review,"Order destination city is expected to be known before dispatch but may be high-cardinality.","Use normalized city, grouped geography, or training-only encoding with review.","docs/leakage_control_plan.md"
Order Country,Order_Country,order_region,order_creation,allowed,allowed,allowed,direct_candidate,"Order destination country is expected to be known before dispatch and has clear business meaning.","Can be used as a regional categorical feature after train-only encoding.","docs/leakage_control_plan.md"
Order Customer Id,Order_Customer_Id,customer_identifier,order_creation,review,review,allowed,training_only_aggregate,"Order customer code is an identifier likely known at order creation but should not be used directly as a raw high-cardinality feature.","May support training-only historical aggregates if approved.","docs/leakage_control_plan.md"
order date (DateOrders),order_date_DateOrders,order_time,order_creation,allowed,allowed,allowed,derived_only,"Order timestamp is known at order creation and is needed for chronological split and seasonality features.","Use derived calendar features; avoid treating raw timestamp as an unconstrained model feature.","docs/leakage_control_plan.md"
Order Id,Order_Id,order_identifier,order_creation,forbidden,forbidden,allowed,join_key_only,"Order ID is a row/order identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation.","docs/leakage_control_plan.md"
Order Item Cardprod Id,Order_Item_Cardprod_Id,product_identifier,order_creation,review,review,allowed,review,"Order-item product code is known at order creation but may be high-cardinality.","Use only after product grouping or train-only encoding review.","docs/leakage_control_plan.md"
Order Item Discount,Order_Item_Discount,financial_order_value,order_creation,review,review,allowed,review,"Discount value is likely known at order time but must be reviewed for AO2 target-reconstruction risk.","Allowed only if documented as pre-dispatch and not used to reconstruct profit target.","docs/ao2_target_policy.md"
Order Item Discount Rate,Order_Item_Discount_Rate,financial_order_value,order_creation,review,review,allowed,review,"Discount rate is likely known at order time but must be reviewed for AO2 target-reconstruction risk.","Can support commercial structure features with AO2 review.","docs/ao2_target_policy.md"
Order Item Id,Order_Item_Id,order_identifier,order_creation,forbidden,forbidden,allowed,join_key_only,"Order item ID is a row/item identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation.","docs/leakage_control_plan.md"
Order Item Product Price,Order_Item_Product_Price,financial_order_value,order_creation,review,review,allowed,review,"Product price is expected to be known at order time but may duplicate Product Price.","Prefer one price field only; document AO2 financial predictor selection.","docs/ao2_target_policy.md"
Order Item Profit Ratio,Order_Item_Profit_Ratio,financial_outcome,target_or_outcome,forbidden,forbidden,allowed,dashboard_only,"Realized profit ratio can reconstruct or approximate AO2 target when combined with order value.","Use only for descriptive historical margin audit, never as main AO2 predictor.","docs/ao2_target_policy.md"
Order Item Quantity,Order_Item_Quantity,order_composition,order_creation,allowed,allowed,allowed,direct_candidate,"Item quantity is order composition information expected to be known at order creation.","Can be used directly as a numeric predictor after validation.","docs/ao2_target_policy.md"
Sales,Sales,financial_order_value,order_creation,review,review,allowed,review,"Gross sales is order-value information but may be mechanically tied to price and quantity.","Allowed only with documented AO2 financial predictor policy; avoid redundant value fields.","docs/ao2_target_policy.md"
Order Item Total,Order_Item_Total,financial_order_value,order_creation,review,review,allowed,review,"Discounted item/order value is expected to be known at order time and is recommended as AO3 denominator.","Conditionally allowed for AO2/AO3 with documented financial predictor policy.","docs/ao2_target_policy.md"
Order Profit Per Order,Order_Profit_Per_Order,financial_outcome,target_or_outcome,forbidden,target,allowed,exclude,"This is the official AO2 target and must not be used as an AO2 predictor.","Use as AO2 target only; exclude from predictor matrices.","docs/ao2_target_policy.md"
Order Region,Order_Region,order_region,order_creation,allowed,allowed,allowed,direct_candidate,"Order destination region is expected to be known before dispatch and has clear business meaning.","Can be normalized and encoded inside train-only preprocessing.","docs/leakage_control_plan.md"
Order State,Order_State,order_region,order_creation,allowed,allowed,allowed,direct_candidate,"Order destination state is expected to be known before dispatch and supports regional analysis.","Can be normalized or grouped before train-only encoding.","docs/leakage_control_plan.md"
Order Status,Order_Status,order_outcome,after_order_review,forbidden,forbidden,allowed,dashboard_only,"Order status may encode cancellation, fraud, payment review, or fulfillment outcomes after order creation.","Use only for descriptive analysis or AO1 population sensitivity decisions.","docs/ao1_target_definition.md"
Order Zipcode,Order_Zipcode,order_region,order_creation,review,review,allowed,derived_only,"Order postal code may be known before dispatch but has high missingness and granular geography.","Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.","docs/leakage_control_plan.md"
Product Card Id,Product_Card_Id,product_identifier,order_creation,review,review,allowed,review,"Product code is known at order time but may be high-cardinality.","Use only after product grouping or train-only encoding review.","docs/leakage_control_plan.md"
Product Category Id,Product_Category_Id,product_category,order_creation,review,review,allowed,review,"Product category code is known at order time but may duplicate Category Id.","Use one category representation and document the choice.","docs/leakage_control_plan.md"
Product Description,Product_Description,product_text,descriptive_only,forbidden,forbidden,allowed,exclude,"Product description is empty in the reviewed dataset and not useful for structured modeling.","Exclude from modeling; descriptive metadata only if populated in future data.","docs/silver_cleaning_rules.md"
Product Image,Product_Image,product_asset,descriptive_only,forbidden,forbidden,allowed,dashboard_only,"Product image URL/text asset is not part of the structured pre-shipment model.","Use only for dashboard or catalog display if needed.","docs/leakage_control_plan.md"
Product Name,Product_Name,product_descriptor,order_creation,review,review,allowed,review,"Product name is known at order time but may be high-cardinality.","Use normalized product name only after grouping or train-only encoding review.","docs/leakage_control_plan.md"
Product Price,Product_Price,financial_order_value,order_creation,review,review,allowed,review,"Product list price is expected to be known at order time but may duplicate Order Item Product Price.","Prefer one price field only; document AO2 financial predictor selection.","docs/ao2_target_policy.md"
Product Status,Product_Status,product_status,order_creation,review,review,allowed,review,"Product stock/status indicator is expected to be known before dispatch but source semantics should be preserved cautiously.","Use neutral feature naming and document interpretation before modeling.","docs/leakage_control_plan.md"
shipping date (DateOrders),shipping_date_DateOrders,shipping_actual,after_shipment,forbidden,forbidden,allowed,dashboard_only,"Shipment timestamp is known after order creation and may encode fulfillment timing.","Use only for operational reporting and outcome audit, not predictive features.","docs/ao1_target_definition.md"
Shipping Mode,Shipping_Mode,shipping_planned,before_dispatch,allowed,allowed,allowed,direct_candidate,"Shipping mode is selected/planned before dispatch and has clear operational meaning.","Can support shipping mode and speed-tier features.","docs/leakage_control_plan.md"
